k,phase,seg,sim_time_ns,a_thrust,a_roll,a_pitch,a_yaw,cmd_wx,cmd_wy,cmd_wz,cmd_thrust,collective,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,k_tick
140,prog,g1,263730766000,-0.539224,-0.08496815,-0.0,0.03194268,-0.26679999100000007,-0.0,0.1003000152000002,1.15194,0.305955264,0.8030819892883301,-0.0037976503372192383,-0.343215674161911,-2.513720989227295,-0.19641315937042236,-11.691634178161621,141
141,prog,g1,263751573000,-0.467904,-0.1072293,-0.0,0.0472293,-0.3367000019999997,-0.0,0.1483000019999996,1.33024,0.35331174400000004,0.7742197513580322,-0.002554595470428467,-0.27131298184394836,-2.5388882160186768,-0.20622336864471436,-11.75098705291748,142
142,prog,g1,263779354000,-0.467904,-0.1072293,-0.0,0.0472293,-0.3367000019999997,-0.0,0.1483000019999996,1.33024,0.35331174400000004,0.9264821410179138,-0.013262510299682617,-0.27317100763320923,-2.5690035820007324,-0.19784748554229736,-12.780473709106445,143
142,prog,g1,263800349000,-0.467904,-0.1072293,-0.0,0.0472293,-0.3367000019999997,-0.0,0.1483000019999996,1.33024,0.35331174400000004,1.0426208972930908,-0.012773334980010986,-0.35897475481033325,-2.594536781311035,-0.18796682357788086,-13.647665023803711,144
144,prog,g1,263827954000,-0.466452,-0.08592357,-0.0,0.04066879,-0.2698000098000004,-0.0,0.12770000059999997,1.3338700000000001,0.35427587200000005,1.0111231803894043,-0.0015736818313598633,-0.4291794002056122,-2.6333436965942383,-0.19169700145721436,-14.253687858581543,145
145,prog,g1,263855679000,-0.466452,-0.08592357,-0.0,0.04066879,-0.2698000098000004,-0.0,0.12770000059999997,1.3338700000000001,0.35427587200000005,0.850801408290863,0.000728994607925415,-0.40356189012527466,-2.672280788421631,-0.20804822444915771,-14.540043830871582,146
146,prog,g1,263883460000,-0.466452,-0.08592357,-0.0,0.04066879,-0.2698000098000004,-0.0,0.12770000059999997,1.3338700000000001,0.35427587200000005,0.773311197757721,-0.0024091601371765137,-0.3327983021736145,-2.7073755264282227,-0.21524035930633545,-14.690143585205078,147
147,prog,g1,263911293000,-0.468224,-0.06015924,-0.0,0.0239172,-0.18890001359999964,-0.0,0.07510000800000016,1.32944,0.35309926399999997,0.8134541511535645,-0.004139453172683716,-0.30996495485305786,-2.73960542678833,-0.2115999460220337,-14.741617202758789,148
148,prog,g1,263932178000,-0.468224,-0.06015924,-0.0,0.0239172,-0.18890001359999964,-0.0,0.07510000800000016,1.32944,0.35309926399999997,0.6370668411254883,-0.00040730834007263184,-0.27935901284217834,-2.7634668350219727,-0.23022609949111938,-14.699190139770508,149
149,prog,g1,263959958000,-0.47264,-0.04920382,-0.0,0.01242038,-0.1544999948000001,-0.0,0.03899999320000003,1.3184,0.35016704,0.5300214886665344,-0.00025784969329833984,-0.19433894753456116,-2.790895938873291,-0.2399921417236328,-14.651928901672363,150
