t,a_thrust,a_roll,a_pitch,a_yaw
3.50000,-0.600000,0.000000,0.000000,0.392314
3.52500,-0.600000,0.000000,0.000000,-0.219445
3.55000,-0.600000,0.000000,0.000000,-0.075724
3.57500,-0.600000,0.000000,0.000000,0.322797
3.60000,-0.600000,0.000000,0.000000,-0.398225
3.62500,-0.600000,0.000000,0.000000,0.279350
3.65000,-0.600000,0.000000,0.000000,-0.036861
3.67500,-0.600000,0.000000,0.000000,-0.214496
3.70000,-0.600000,0.000000,0.000000,0.373056
3.72500,-0.600000,0.000000,0.000000,-0.388155
3.75000,-0.600000,0.000000,0.000000,0.268624
3.77500,-0.600000,0.000000,0.000000,-0.067030
3.80000,-0.600000,0.000000,0.000000,-0.147250
3.82500,-0.600000,0.000000,0.000000,0.313274
3.85000,-0.600000,0.000000,0.000000,-0.394178
3.87500,-0.600000,0.000000,0.000000,0.381322
3.90000,-0.600000,0.000000,0.000000,-0.289428
3.92500,-0.600000,0.000000,0.000000,0.147067
3.95000,-0.600000,0.000000,0.000000,0.013349
3.97500,-0.600000,0.000000,0.000000,-0.163352
4.00000,-0.600000,0.000000,0.000000,0.282843
4.02500,-0.600000,0.000000,0.000000,-0.361343
4.05000,-0.600000,0.000000,0.000000,0.396944
4.07500,-0.600000,0.000000,0.000000,-0.394010
4.10000,-0.600000,0.000000,0.000000,0.360582
4.12500,-0.600000,0.000000,0.000000,-0.306067
4.15000,-0.600000,0.000000,0.000000,0.239540
4.17500,-0.600000,0.000000,0.000000,-0.168711
4.20000,-0.600000,0.000000,0.000000,0.099476
4.22500,-0.600000,0.000000,0.000000,-0.035884
4.25000,-0.600000,0.000000,0.000000,-0.019627
4.27500,-0.600000,0.000000,0.000000,0.065868
4.30000,-0.600000,0.000000,0.000000,-0.102516
4.32500,-0.600000,0.000000,0.000000,0.129753
4.35000,-0.600000,0.000000,0.000000,-0.147980
4.37500,-0.600000,0.000000,0.000000,0.157597
4.40000,-0.600000,0.000000,0.000000,-0.158859
4.42500,-0.600000,0.000000,0.000000,0.151803
4.45000,-0.600000,0.000000,0.000000,-0.136234
4.47500,-0.600000,0.000000,0.000000,0.111785
4.50000,-0.600000,0.000000,0.000000,-0.078036
4.52500,-0.600000,0.000000,0.000000,0.034710
4.55000,-0.600000,0.000000,0.000000,0.018058
4.57500,-0.600000,0.000000,0.000000,-0.079384
4.60000,-0.600000,0.000000,0.000000,0.147250
4.62500,-0.600000,0.000000,0.000000,-0.218130
4.65000,-0.600000,0.000000,0.000000,0.286703
4.67500,-0.600000,0.000000,0.000000,-0.345787
4.70000,-0.600000,0.000000,0.000000,0.386640
4.72500,-0.600000,0.000000,0.000000,-0.399809
4.75000,-0.600000,0.000000,0.000000,0.376618
4.77500,-0.600000,0.000000,0.000000,-0.311311
4.80000,-0.600000,0.000000,0.000000,0.203617
4.82500,-0.600000,0.000000,0.000000,-0.061216
4.85000,-0.600000,0.000000,0.000000,-0.098715
4.87500,-0.600000,0.000000,0.000000,0.249944
4.90000,-0.600000,0.000000,0.000000,-0.360582
4.92500,-0.600000,0.000000,0.000000,0.399894
4.95000,-0.600000,0.000000,0.000000,-0.347841
4.97500,-0.600000,0.000000,0.000000,0.205136
5.00000,-0.600000,0.000000,0.000000,0.000000
5.02500,-0.600000,0.000000,0.000000,0.000000
5.05000,-0.600000,0.000000,0.000000,0.000000
5.07500,-0.600000,0.000000,0.000000,0.000000
5.10000,-0.600000,0.000000,0.000000,0.000000
5.12500,-0.600000,0.000000,0.000000,0.000000
5.15000,-0.600000,0.000000,0.000000,0.000000
5.17500,-0.600000,0.000000,0.000000,0.000000
5.20000,-0.600000,0.000000,0.000000,0.000000
5.22500,-0.600000,0.000000,0.000000,0.000000
5.25000,-0.600000,0.000000,0.000000,0.000000
5.27500,-0.600000,0.000000,0.000000,0.000000
5.30000,-0.600000,0.000000,0.000000,0.000000
5.32500,-0.600000,0.000000,0.000000,0.000000
5.35000,-0.600000,0.000000,0.000000,0.000000
5.37500,-0.600000,0.000000,0.000000,0.000000
5.40000,-0.600000,0.000000,0.000000,0.000000
5.42500,-0.600000,0.000000,0.000000,0.000000
5.45000,-0.600000,0.000000,0.000000,0.000000
5.47500,-0.600000,0.000000,0.000000,0.000000
