t,a_thrust,a_roll,a_pitch,a_yaw,seg,gate,src_k,kf_speed
4.3000,-0.49274400,-0.04477707,-0.00000000,0.00073248,g1,1,110,9.20
4.3250,-0.49829600,-0.03133758,-0.00000000,-0.00512739,g1,1,111,9.28
4.3500,-0.49829600,-0.03133758,-0.00000000,-0.00512739,g1,1,111,9.28
4.3750,-0.51517600,-0.02624204,-0.00000000,-0.00742038,g1,1,112,9.34
4.4000,-0.51014400,-0.04512739,-0.00000000,-0.00525478,g1,1,113,9.42
4.4250,-0.51306400,-0.04792994,-0.00000000,-0.00375796,g1,1,114,9.42
4.4500,-0.51306400,-0.04792994,-0.00000000,-0.00375796,g1,1,114,9.42
4.4750,-0.52133600,-0.05458599,-0.00000000,-0.00570064,g1,1,115,9.45
4.5000,-0.52133600,-0.05458599,-0.00000000,-0.00570064,g1,1,115,9.45
4.5250,-0.53999200,-0.03079618,-0.00000000,-0.00984076,g1,1,116,9.51
4.5500,-0.54902400,-0.00968153,-0.00000000,-0.01410828,g1,1,117,9.55
4.5750,-0.54902400,-0.00968153,-0.00000000,-0.01410828,g1,1,117,9.55
4.6000,-0.55171200,-0.00955414,-0.00000000,-0.01601911,g1,1,118,9.56
4.6250,-0.55908800,-0.00722930,-0.00000000,-0.01707006,g1,1,119,9.58
4.6500,-0.55702400,-0.01254777,-0.00000000,-0.01824841,g1,1,120,9.58
4.6750,-0.55702400,-0.01254777,-0.00000000,-0.01824841,g1,1,120,9.58
4.7000,-0.55702400,-0.01254777,-0.00000000,-0.01824841,g1,1,120,9.58
4.7250,-0.57342800,-0.03831210,-0.00000000,-0.13550955,g1,1,121,9.60
4.7500,-0.57342800,-0.03831210,-0.00000000,-0.13550955,g1,1,121,9.60
4.7750,-0.55927200,-0.07582803,-0.00000000,-0.15028662,g1,1,122,9.62
4.8000,-0.56293600,-0.15156051,-0.00000000,-0.18837580,g1,1,123,9.65
4.8250,-0.64386000,-0.32888535,-0.00000000,-0.07455414,g1,1,124,9.65
4.8500,-0.72208800,-0.39703822,-0.00000000,-0.11267516,g1,1,125,9.67
4.8750,-0.72208800,-0.39703822,-0.00000000,-0.11267516,g1,1,125,9.67
4.9000,-0.72208800,-0.39703822,-0.00000000,-0.11267516,g1,1,125,9.67
4.9250,-0.69139200,-0.46401274,-0.00000000,-0.11665605,g1,1,126,9.62
4.9500,-0.69139200,-0.46401274,-0.00000000,-0.11665605,g1,1,126,9.62
4.9750,-0.68544000,-0.38684713,-0.00000000,-0.08410828,g1,1,127,9.50
5.0000,-0.68544000,-0.38684713,-0.00000000,-0.08410828,g1,1,127,9.50
5.0250,-0.68597200,-0.13751592,-0.00000000,-0.06143312,g1,1,128,9.47
5.0500,-0.85885200,0.17904459,-0.00000000,-0.03089172,g1,1,130,9.35
5.0750,-0.85885200,0.17904459,-0.00000000,-0.03089172,g1,1,130,9.35
5.1000,-0.85885200,0.17904459,-0.00000000,-0.03089172,g1,1,130,9.35
5.1250,-0.96223200,-0.05751592,-0.00000000,-0.10140127,g1,1,131,9.25
5.1500,-0.96223200,-0.05751592,-0.00000000,-0.10140127,g1,1,131,9.25
5.1750,-0.94998000,0.34570064,-0.00000000,-0.11340764,g2,2,132,9.06
5.2000,-0.94448400,0.34828025,-0.00000000,-0.10356688,g2,2,133,8.91
5.2250,-0.97001600,0.34054140,-0.00000000,-0.06149682,g2,2,134,8.93
5.2500,-0.97001600,0.34054140,-0.00000000,-0.06149682,g2,2,134,8.93
5.2750,-0.96373200,0.34426752,-0.00000000,-0.03041401,g2,2,135,8.87
5.3000,-0.95512800,0.32366242,-0.00000000,-0.02939490,g2,2,136,8.70
5.3250,-0.95391600,0.34000000,-0.00000000,-0.04114650,g2,2,137,8.67
5.3500,-0.93866400,0.31684713,-0.00000000,-0.05640127,g2,2,138,8.62
5.3750,-0.93866400,0.31684713,-0.00000000,-0.05640127,g2,2,138,8.62
5.4000,-0.93866400,0.31684713,-0.00000000,-0.05640127,g2,2,138,8.62
5.4250,-0.93866400,0.31684713,-0.00000000,-0.05640127,g2,2,138,8.62
5.4500,-0.94558000,0.14369427,-0.00000000,-0.04528662,g2,2,139,8.58
5.4750,-0.93758000,0.08324841,-0.00000000,-0.04117834,g2,2,140,8.55
5.5000,-0.90728400,0.09834395,-0.00000000,-0.06971338,g2,2,141,8.55
5.5250,-0.87997600,0.09245223,-0.00000000,-0.07035032,g2,2,142,5.63
5.5500,-0.84225200,0.06843949,-0.00000000,-0.04187898,g2,2,143,8.41
5.5750,-0.84225200,0.06843949,-0.00000000,-0.04187898,g2,2,143,8.41
5.6000,-0.79231200,0.04993631,-0.00000000,-0.01156051,g2,2,144,8.34
5.6250,-0.79231200,0.04993631,-0.00000000,-0.01156051,g2,2,144,8.34
5.6500,-0.67627200,0.01273885,-0.00000000,0.02328025,g2,2,145,8.24
5.6750,-0.67627200,0.01273885,-0.00000000,0.02328025,g2,2,145,8.24
5.7000,-0.61460800,-0.04216561,-0.00000000,0.03143312,g2,2,146,8.17
5.7250,-0.53334000,-0.09458599,-0.00000000,0.03283439,g2,2,147,8.19
5.7500,-0.47515600,-0.08643312,-0.00000000,0.02232484,g2,2,148,8.23
5.7750,-0.47515600,-0.08643312,-0.00000000,0.02232484,g2,2,148,8.23
5.8000,-0.45513600,-0.61156051,-0.00000000,0.04764331,g2,2,149,8.28
5.8250,-0.45513600,-0.61156051,-0.00000000,0.04764331,g2,2,149,8.28
5.8500,-0.42837600,-0.68382166,-0.00000000,-0.02050955,g2,2,150,8.54
5.8750,-0.42837600,-0.68382166,-0.00000000,-0.02050955,g2,2,150,8.54
5.9000,-0.45114000,-0.74904459,-0.00000000,-0.04054140,g2,2,151,8.83
5.9250,-0.69145600,-0.78410828,-0.00000000,-0.19417197,g2,2,152,9.09
5.9500,-0.69145600,-0.78410828,-0.00000000,-0.19417197,g2,2,152,9.09
5.9750,-0.67816800,-0.66624204,-0.00000000,-0.18936306,g2,2,153,9.27
6.0000,-0.70770800,-0.06496815,-0.34668790,0.06573248,g2,2,154,9.30
6.0250,-0.70770800,-0.06496815,-0.34668790,0.06573248,g2,2,154,9.30
6.0500,-0.70770800,-0.06496815,-0.34668790,0.06573248,g2,2,154,9.30
6.0750,-0.53192800,0.19792994,-0.07181529,0.22292994,g2,2,155,9.11
6.1000,-0.51576000,0.22722930,-0.00847134,0.21974522,g2,2,156,8.83
6.1250,-0.52788000,0.16764331,-0.00000000,0.13025478,g2,2,157,8.54
6.1500,-0.49175600,-0.02796178,-0.00000000,-0.00792994,g2,2,158,8.36
6.1750,-0.49175600,-0.02796178,-0.00000000,-0.00792994,g2,2,158,8.36
6.2000,-0.15930800,0.19334395,-0.13452229,-0.15308917,g3,3,159,8.05
6.2250,-0.21022400,0.17888535,-0.13815287,-0.20996815,g3,3,160,7.90
6.2500,-0.21022400,0.17888535,-0.13815287,-0.20996815,g3,3,160,7.90
6.2750,-0.28997200,0.09073248,-0.09894904,-0.14882166,g3,3,161,7.58
6.3000,-0.28997200,0.09073248,-0.09894904,-0.14882166,g3,3,161,7.58
6.3250,-0.31119200,0.05996815,-0.09525478,-0.12394904,g3,3,162,7.43
6.3500,-0.33567200,0.06901274,-0.08140127,-0.13474522,g3,3,163,7.43
6.3750,-0.34182000,0.09687898,-0.07815287,-0.15417197,g3,3,164,7.51
6.4000,-0.34182000,0.09687898,-0.07815287,-0.15417197,g3,3,164,7.51
6.4250,-0.38312400,0.08464968,-0.05509554,-0.17340764,g3,3,165,7.58
6.4500,-0.38312400,0.08464968,-0.05509554,-0.17340764,g3,3,165,7.58
6.4750,-0.42236400,0.06843949,-0.05165605,-0.14671975,g3,3,166,7.80
6.5000,-0.42094000,0.08735669,-0.07840764,-0.12601911,g3,3,167,7.98
6.5250,-0.42094000,0.08735669,-0.07840764,-0.12601911,g3,3,167,7.98
6.5500,-0.42094000,0.08735669,-0.07840764,-0.12601911,g3,3,167,7.98
6.5750,-0.44151200,0.21964968,-0.00000000,0.16910828,g3,3,169,8.30
6.6000,-0.45149600,0.18719745,-0.02060510,0.14391720,g3,3,170,8.45
6.6250,-0.45149600,0.18719745,-0.02060510,0.14391720,g3,3,170,8.45
6.6500,-0.45149600,0.18719745,-0.02060510,0.14391720,g3,3,170,8.45
6.6750,-0.45149600,0.18719745,-0.02060510,0.14391720,g3,3,170,8.45
6.7000,-0.49004400,0.14726115,-0.00000000,-0.02057325,g3,3,171,8.78
6.7250,-0.49459200,0.03471338,-0.00000000,-0.06716561,g3,3,172,9.09
6.7500,-0.48139200,0.03509554,-0.00000000,-0.07544586,g3,3,173,9.19
6.7750,-0.47373600,0.03691083,-0.00000000,-0.06872611,g3,3,174,9.32
6.8000,-0.47373600,0.03691083,-0.00000000,-0.06872611,g3,3,174,9.32
6.8250,-0.47229200,0.06031847,-0.00000000,-0.04847134,g3,3,175,9.53
6.8500,-0.47460400,0.04971338,-0.00000000,-0.04455414,g3,3,176,9.72
6.8750,-0.47432800,0.05837580,-0.00000000,-0.04168790,g3,3,177,9.86
6.9000,-0.47432800,0.05837580,-0.00000000,-0.04168790,g3,3,177,9.86
6.9250,-0.48133200,0.04687898,-0.00000000,-0.04111465,g3,3,178,10.06
6.9500,-0.48844400,0.01974522,-0.00000000,-0.04050955,g3,3,179,10.29
6.9750,-0.49483200,0.01168790,-0.00000000,-0.03929936,g3,3,180,10.48
7.0000,-0.49483200,0.01168790,-0.00000000,-0.03929936,g3,3,180,10.48
7.0250,-0.49888000,0.00216561,-0.00000000,-0.03802548,g3,3,182,10.74
7.0500,-0.49888000,0.00216561,-0.00000000,-0.03802548,g3,3,182,10.74
7.0750,-0.49515200,-0.02105096,-0.00000000,-0.03410828,g3,3,183,10.84
7.1000,-0.49515200,-0.02105096,-0.00000000,-0.03410828,g3,3,183,10.84
7.1250,-0.50650400,-0.02869427,-0.00000000,-0.02980892,g3,3,184,11.02
