t_s,xacc_mps2,yacc_mps2,zacc_mps2,xgyro_rads,ygyro_rads,zgyro_rads
2.159682,-0.046532,-0.219046,-13.633610,0.0393812,-0.0653939,0.6656479
2.173495,-0.026475,-0.243359,-13.755816,0.0416595,-0.0486019,0.6693417
2.180472,-0.045146,-0.217121,-13.718038,0.0415452,-0.0472600,0.6713760
2.187393,-0.034052,-0.229512,-13.768502,0.0410744,-0.0487351,0.6732630
2.194404,-0.051018,-0.205413,-13.727554,0.0405565,-0.0514976,0.6748659
2.201358,-0.039682,-0.217808,-13.772364,0.0401834,-0.0543734,0.6761029
2.215327,-0.018771,-0.240101,-13.850706,0.0400782,-0.0580849,0.6773980
2.222248,-0.035094,-0.222232,-9.731295,0.0336203,-0.0453396,0.6945425
2.229259,-0.054006,-0.199727,-6.644051,0.0263630,-0.0301040,0.7157816
2.236125,-0.026144,-0.234329,-4.430974,0.0199944,-0.0165383,0.7383205
2.250112,-0.036510,-0.218813,-2.241716,0.0123018,-0.0004197,0.7786766
2.257058,-0.034196,-0.220011,-4.406256,0.0068337,0.0008622,0.7694797
2.264060,-0.053077,-0.195987,-6.047618,0.0018600,-0.0006838,0.7498731
2.270946,-0.029638,-0.222386,-7.235993,-0.0018772,-0.0036409,0.7238375
2.284858,-0.028998,-0.215174,-9.392955,0.0714893,-0.0044367,0.6950195
2.291809,-0.043103,-0.191692,-10.254172,0.1495193,-0.0001879,0.7051513
2.298735,-0.038605,-0.190012,-8.180027,0.2872785,0.0112514,0.7223151
2.305620,-0.030353,-0.195312,-6.808008,0.3958108,0.0210449,0.7434401
2.312759,-0.081940,-0.132781,-6.017860,0.4719115,0.0269554,0.7657712
2.326548,-0.039909,-0.176677,-4.991006,0.5311585,0.0272145,0.8055836
2.333560,-0.056665,-0.154531,-4.891768,0.5286960,0.0241159,0.8203242
2.340895,-0.094717,-0.106424,-4.990970,0.5153937,0.0206480,0.8309028
2.347963,-0.020355,-0.191928,-4.828392,0.4980736,0.0178222,0.8370621
2.354838,0.014800,-0.231438,-4.863636,0.4821082,0.0161547,0.8390948
2.368645,-0.027975,-0.174597,-5.365152,0.4628670,0.0158909,0.8342696
2.375817,-0.090700,-0.095526,-5.732118,0.4594928,0.0166892,0.8291184
2.382623,-0.010378,-0.189533,-5.736880,0.4593300,0.0177119,0.8232182
2.389505,-0.028355,-0.164399,-5.982318,0.4613020,0.0187315,0.8172644
2.403376,-0.025998,-0.160601,-6.352160,0.4677875,0.0202617,0.8072097
2.410400,-0.060772,-0.114659,-6.585315,0.4709404,0.0206938,0.8037130
2.417245,-0.019950,-0.161482,-6.665088,0.4735535,0.0209297,0.8013852
2.424286,-0.065386,-0.102210,-6.992290,0.4725203,0.0217505,0.8001804
2.438236,-0.056848,-0.106388,-7.340774,0.4698026,0.0235502,0.8005388
2.445225,-0.031909,-0.133973,-7.444672,0.4687027,0.0242719,0.8017041
2.452103,-0.028584,-0.135527,-7.550714,0.4681063,0.0247771,0.8031896
2.459108,-0.059155,-0.094738,-7.673484,0.4680125,0.0250828,0.8048057
2.466249,-0.091391,-0.051860,-7.778027,0.4683488,0.0252179,0.8063793
2.479877,-0.028632,-0.124456,-7.822642,0.4698281,0.0251578,0.8089154
2.486846,-0.052141,-0.092525,-7.883741,0.4707310,0.0250515,0.8097461
2.493832,-0.056818,-0.084030,-7.919764,0.4716222,0.0249423,0.8102626
2.500737,-0.036853,-0.106471,-7.928905,0.4724495,0.0248535,0.8104869
2.514705,-0.063900,-0.067683,-7.990396,0.4738369,0.0247779,0.8102461
2.521596,-0.032345,-0.104759,-7.980035,0.4744047,0.0247932,0.8098986
2.528653,-0.077321,-0.046166,-8.026976,0.4749091,0.0248364,0.8094798
2.535456,-0.011344,-0.126451,-7.987079,0.4753691,0.0248985,0.8090428
2.549427,-0.055612,-0.076379,-8.722157,0.2861691,0.0253004,0.7526947
2.556335,-0.041531,-0.098229,-8.956026,0.1889517,0.0276168,0.7192952
2.563350,-0.070594,-0.065885,-9.159014,0.1120914,0.0304541,0.6872495
2.570159,-0.015634,-0.136038,-9.322606,0.0614552,0.0331548,0.6591348
2.584008,-0.037899,-0.109221,-9.585451,0.0307119,0.0370977,0.6204852
2.590958,-0.057558,-0.084544,-9.684913,0.0385688,0.0382807,0.6108021
2.597963,-0.073425,-0.064268,-9.767759,0.0529673,0.0389740,0.6070275
2.604863,-0.045290,-0.095886,-9.847083,0.0686123,0.0392082,0.6082129
2.611906,-0.085800,-0.058074,-10.301005,-0.0776372,0.0353633,0.5729926
