t_s,xacc_mps2,yacc_mps2,zacc_mps2,xgyro_rads,ygyro_rads,zgyro_rads
1.222394,-0.000225,-0.003422,-9.810306,0.0006346,0.0005538,-0.0000280
1.229248,0.000135,0.003230,-9.809516,0.0005491,0.0005323,0.0000381
1.243174,-0.000038,-0.003925,-9.809711,0.0006633,0.0005778,-0.0000286
1.250095,-0.000046,0.003360,-9.809820,0.0005497,0.0005320,0.0000381
1.257106,-0.000093,-0.003327,-9.810478,0.0006345,0.0005535,-0.0000279
1.264016,0.000130,0.003391,-9.810155,0.0005158,0.0005320,0.0000382
1.271015,-0.000084,-0.003526,-9.809848,0.0006342,0.0005539,-0.0000279
1.284894,0.000152,0.000179,-9.810623,0.0005054,0.0005326,0.0000381
1.291778,-0.000095,-0.003913,-9.809648,0.0006634,0.0005778,-0.0000286
1.298726,-0.000099,0.003357,-9.809758,0.0005509,0.0005256,0.0000387
1.305763,-0.000025,-0.003208,-9.811326,0.0006030,0.0005646,-0.0000289
1.312590,0.000229,0.003143,-9.808976,0.0005460,0.0005494,0.0000382
1.326525,-0.000199,-0.003725,-9.810016,0.0006340,0.0005541,-0.0000280
1.333477,0.000153,0.003238,-9.809422,0.0005460,0.0005274,0.0000385
1.340422,-0.000077,-0.003441,-9.810644,0.0006333,0.0005601,-0.0000286
1.347338,0.000081,0.003206,-9.809455,0.0005491,0.0005323,0.0000381
1.361277,0.000138,0.003201,-9.809518,0.0005490,0.0005323,0.0000382
1.368264,0.000127,0.000249,-9.810462,0.0005068,0.0005262,0.0000388
1.375141,-0.000038,-0.003915,-9.809716,0.0006626,0.0005776,-0.0000285
1.382076,-0.000078,0.003606,-9.810286,0.0005145,0.0005204,0.0000391
1.395966,-0.000149,0.003551,-9.810183,0.0005192,0.0005148,0.0000380
1.402926,0.000249,0.000100,-9.810106,0.0005062,0.0005264,0.0000388
1.409843,-0.000045,-0.003909,-9.809711,0.0006632,0.0005778,-0.0000286
1.416829,-0.000046,0.003327,-9.809820,0.0005496,0.0005321,0.0000381
1.423841,-0.000093,-0.003328,-9.810478,0.0006346,0.0005535,-0.0000279
1.437738,0.000126,0.000246,-9.810458,0.0005068,0.0005262,0.0000388
1.444558,-0.000201,-0.003772,-9.810015,0.0006340,0.0005542,-0.0000280
1.451596,0.000247,0.003215,-9.809695,0.0005432,0.0005444,0.0000386
1.458518,-0.000228,-0.003463,-9.810309,0.0006346,0.0005537,-0.0000280
1.472409,-0.000050,-0.003381,-9.810516,0.0006333,0.0005600,-0.0000286
1.479313,0.000082,0.003211,-9.809453,0.0005492,0.0005323,0.0000381
1.486345,0.000127,0.000250,-9.810460,0.0005067,0.0005261,0.0000388
1.493179,-0.000146,-0.003774,-9.810077,0.0006326,0.0005605,-0.0000287
1.507178,-0.000100,-0.003301,-9.810472,0.0006346,0.0005535,-0.0000279
1.514015,0.000271,0.003333,-9.809697,0.0005421,0.0005440,0.0000387
1.521025,0.000002,0.000154,-9.810279,0.0005068,0.0005263,0.0000387
1.527957,-0.000042,-0.003892,-9.809714,0.0006633,0.0005778,-0.0000286
1.534954,-0.000045,0.003322,-9.809822,0.0005497,0.0005320,0.0000381
1.548782,0.000138,0.003182,-9.809521,0.0005490,0.0005323,0.0000381
1.555719,0.000128,0.000251,-9.810465,0.0005068,0.0005261,0.0000388
1.562599,-0.000101,-0.003721,-9.810287,0.0006311,0.0005711,-0.0000279
1.569655,0.000025,0.003106,-9.809261,0.0005492,0.0005324,0.0000381
1.583442,0.000267,0.003297,-9.809687,0.0005432,0.0005443,0.0000386
1.590480,0.000003,0.000166,-9.810290,0.0005068,0.0005263,0.0000387
1.597339,-0.000149,-0.003759,-9.810078,0.0006327,0.0005606,-0.0000287
1.604481,0.000067,0.003096,-9.809474,0.0005491,0.0005323,0.0000381
1.611284,-0.000105,-0.003436,-9.810492,0.0006346,0.0005536,-0.0000279
1.625153,-0.000104,-0.003408,-9.810486,0.0006347,0.0005535,-0.0000279
1.632080,0.000235,0.003212,-9.809790,0.0005463,0.0005492,0.0000382
1.639123,0.000031,0.000227,-9.810190,0.0005068,0.0005262,0.0000387
1.646000,-0.000200,-0.003739,-9.810017,0.0006340,0.0005542,-0.0000280
1.653003,0.000248,0.003232,-9.809694,0.0005432,0.0005443,0.0000386
1.666837,0.000080,0.003182,-9.809461,0.0005492,0.0005322,0.0000381
1.673807,0.000128,0.000253,-9.810465,0.0005067,0.0005261,0.0000388
1.680700,-0.000038,-0.003915,-9.809711,0.0006632,0.0005778,-0.0000286
1.687762,-0.000149,0.003458,-9.810180,0.0005192,0.0005148,0.0000380
1.701544,0.000130,0.003164,-9.809520,0.0005490,0.0005323,0.0000381
1.708492,-0.000049,-0.003378,-9.810541,0.0006334,0.0005600,-0.0000286
1.715450,0.000083,0.003187,-9.809459,0.0005491,0.0005323,0.0000381
1.722466,0.000127,0.000249,-9.810461,0.0005068,0.0005262,0.0000388
1.729302,-0.000048,-0.003755,-9.810352,0.0006299,0.0005775,-0.0000286
1.743214,-0.000104,-0.003381,-9.810486,0.0006346,0.0005536,-0.0000279
1.750181,0.000265,0.003256,-9.809691,0.0005432,0.0005443,0.0000386
1.757160,0.000003,0.000167,-9.810292,0.0005068,0.0005263,0.0000387
1.764020,-0.000149,-0.003758,-9.810079,0.0006327,0.0005606,-0.0000287
1.777937,-0.000103,-0.003391,-9.810486,0.0006346,0.0005536,-0.0000279
1.784949,0.000136,0.003154,-9.809525,0.0005490,0.0005323,0.0000382
1.791835,-0.000050,-0.003407,-9.810547,0.0006334,0.0005599,-0.0000286
1.798763,0.000084,0.003200,-9.809456,0.0005492,0.0005323,0.0000381
1.812635,-0.000145,-0.003753,-9.810078,0.0006327,0.0005606,-0.0000287
1.819706,0.000067,0.003127,-9.809469,0.0005492,0.0005323,0.0000381
1.826520,-0.000104,-0.003429,-9.810491,0.0006345,0.0005536,-0.0000279
1.833468,0.000265,0.003264,-9.809690,0.0005432,0.0005443,0.0000386
1.840429,0.000003,0.000169,-9.810292,0.0005068,0.0005262,0.0000387
1.854335,-0.000152,0.003529,-9.810184,0.0005192,0.0005148,0.0000380
1.861255,0.000020,-0.003532,-9.810122,0.0006340,0.0005539,-0.0000279
1.868276,0.000129,0.003140,-9.809524,0.0005490,0.0005323,0.0000381
1.875193,-0.000050,-0.003392,-9.810544,0.0006334,0.0005600,-0.0000286
1.882109,0.000084,0.003207,-9.809456,0.0005491,0.0005323,0.0000381
1.895975,-0.000145,-0.003754,-9.810077,0.0006327,0.0005606,-0.0000287
1.903112,0.000067,0.003097,-9.809474,0.0005492,0.0005323,0.0000381
1.909900,-0.000105,-0.003443,-9.810493,0.0006346,0.0005536,-0.0000279
1.916785,0.000267,0.003296,-9.809688,0.0005432,0.0005443,0.0000386
1.930689,-0.000041,-0.003911,-9.809714,0.0006632,0.0005778,-0.0000286
1.937748,-0.000149,0.003459,-9.810180,0.0005192,0.0005148,0.0000380
1.944568,0.000074,-0.003593,-9.810188,0.0006328,0.0005602,-0.0000285
1.951653,0.000075,0.003119,-9.809465,0.0005492,0.0005323,0.0000381
1.958545,-0.000103,-0.003392,-9.810485,0.0006346,0.0005536,-0.0000279
1.972449,0.000126,0.000248,-9.810460,0.0005067,0.0005261,0.0000388
1.979296,-0.000038,-0.003940,-9.809709,0.0006632,0.0005778,-0.0000286
1.986341,-0.000076,0.003555,-9.810287,0.0005146,0.0005204,0.0000391
1.993282,0.000339,-0.000170,-9.809697,0.0005355,0.0005502,0.0000382
2.000164,-0.000380,-0.003577,-9.810313,0.0006346,0.0005539,-0.0000281
2.014034,-0.000104,-0.003407,-9.810485,0.0006346,0.0005536,-0.0000279
