t_s,xacc_mps2,yacc_mps2,zacc_mps2,xgyro_rads,ygyro_rads,zgyro_rads
1.875242,-2.485039,-0.248766,-8.909865,0.023238,0.165601,-0.000657
1.882179,-2.457887,-0.225241,-8.895497,0.027992,0.155077,-0.003257
1.889151,-1.221610,-0.269233,-9.128942,0.038579,0.124081,-0.002075
1.896063,-1.201536,-0.282032,-9.010412,0.042148,0.105418,-0.001835
1.910004,-0.089959,-0.007518,-4.784761,-0.062278,-0.554704,0.037179
1.916838,0.022595,0.005412,-0.687849,-0.125321,-0.936051,0.064233
1.923886,-0.114900,-0.005614,0.167321,-0.163753,-1.120650,0.083091
1.930759,-0.017241,0.004723,0.526658,-0.185457,-1.160553,0.095758
1.937703,-0.061581,0.000420,0.425657,-0.195906,-1.104259,0.103659
1.951586,-0.058968,0.003083,1.336646,-0.196652,-0.861938,0.109116
1.958618,-0.124368,-0.003238,2.062362,-0.191188,-0.732823,0.108096
1.965474,-0.035135,0.010184,3.387445,-0.183600,-0.620479,0.105291
1.972401,-0.077714,0.005849,4.114056,-0.173131,-0.527430,0.102020
1.986278,-0.044650,0.010979,4.804718,-0.148140,-0.382242,0.094114
1.993312,-0.136589,-0.003164,4.338415,-0.133250,-0.327722,0.088610
2.000210,-0.067413,0.006603,4.295912,-0.116077,-0.284310,0.081214
2.007247,-0.139372,-0.005217,3.645700,-0.097264,-0.250296,0.071911
2.014117,-0.056051,0.007334,3.531482,-0.077787,-0.223752,0.061110
2.028020,-0.112185,-0.002107,2.500202,-0.042945,-0.187807,0.038815
2.034952,-0.094684,0.000769,2.156924,-0.030386,-0.176581,0.029603
2.041925,-0.117622,-0.002803,1.697780,-0.021509,-0.168938,0.022472
2.048866,-0.104630,-0.000380,1.372238,-0.016058,-0.164325,0.017562
2.055748,-0.078073,0.004396,1.129409,-0.013495,-0.161720,0.014748
2.069645,-0.082748,0.004518,0.627466,-0.014294,-0.158745,0.014113
2.076706,-0.174660,-0.010531,0.197130,-0.016295,-0.156981,0.015471
2.083559,-0.075993,0.006654,0.326490,-0.018598,-0.154517,0.017405
2.090564,-0.153784,-0.006148,-0.005696,-0.020790,-0.151252,0.019568
2.104376,-0.128193,-0.000809,-0.142507,-0.023854,-0.142700,0.023587
2.111371,-0.158975,-0.005697,-0.319883,-0.024526,-0.137814,0.025139
2.118315,-11.063004,-6.125138,-7.607349,1.011473,-0.425039,0.235600
2.125290,-280.900696,-14.506500,-236.023438,0.336207,-14.148853,0.872190
2.132177,0.536032,0.008745,-6.121267,0.067259,-11.663905,0.754845
2.146080,0.619346,-0.042901,-13.217137,-0.490937,-6.452699,0.466603
2.152965,0.470054,-0.070388,-16.879269,-0.648558,-3.727185,0.330116
2.159974,0.177653,-0.089845,-18.326267,-0.659857,-1.220516,0.207093
2.166887,-0.006723,-0.052053,-14.338916,-0.553841,0.363061,0.093856
